relative_path,extension,width,height,mode,inferred_visual_type,metadata_status,error
results/Rice/Federated/FedAvg/NonIID_alpha0p5/MobileNetV2/evaluation/validation_confusion_matrix.png,.png,1610,1417,RGBA,confusion_matrix,read,
results/Rice/Federated/FedAvg/NonIID_alpha0p5/ResNet18/evaluation/test_confusion_matrix.png,.png,1790,1578,RGBA,confusion_matrix,read,
results/Rice/Federated/FedAvg/NonIID_alpha0p5/ResNet18/evaluation/validation_confusion_matrix.png,.png,1790,1578,RGBA,confusion_matrix,read,
results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.png,.png,4770,1920,RGBA,dataset/sample/other image,read,
results/Rice/Federated/Summaries/Presentation_tables/table_2_alpha0p1_comparison.png,.png,4170,900,RGBA,dataset/sample/other image,read,
results/Rice/SupportingEvidence/ResNet18Proof/confusion_matrix.png,.png,1610,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/test_07_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/test_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/validation_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/test_07_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/test_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/validation_confusion_matrix.png,.png,1638,1417,RGBA,confusion_matrix,read,
streamlit-ui/streamlit-ui/assets/generated_charts/clients_rice_alpha_0_1_entropy.png,.png,2100,1382,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/clients_rice_alpha_0_1_images.png,.png,2140,1382,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/dataset_split_rice.png,.png,2140,1382,RGBA,dataset_split,read,
streamlit-ui/streamlit-ui/assets/generated_charts/experiment_rice_centralized_centralized_macro_f1.png,.png,2382,1325,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/experiment_rice_fedavg_iid_macro_f1.png,.png,2446,1325,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/experiment_rice_fedavg_non_iid_macro_f1.png,.png,2446,1325,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/experiment_rice_fedper_non_iid_accuracy.png,.png,2341,1325,RGBA,dataset/sample/other image,read,
streamlit-ui/streamlit-ui/assets/generated_charts/experiment_rice_fedper_non_iid_macro_f1.png,.png,2341,1325,RGBA,dataset/sample/other image,read,
