relative_path,file_type,rows_sampled,columns_count,columns,numeric_columns,categorical_columns,detected_concepts,read_status,error
results/Rice/DDP/ResNet18/Final/evaluation/evaluation_summary.csv,.csv,2,8,"experiment, split, num_images, accuracy, balanced_accuracy, macro_f1, weighted_f1, evaluation_seconds","num_images, accuracy, balanced_accuracy, macro_f1, weighted_f1, evaluation_seconds","experiment, split","count: num_images; metric: accuracy, balanced_accuracy, evaluation_seconds, macro_f1; runtime: evaluation_seconds; split: split",read,
results/Rice/DDP/ResNet18/Final/evaluation/test_confusion_matrix.csv,.csv,8,9,"Unnamed: 0, 0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM","0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM",Unnamed: 0,,read,
results/Rice/DDP/ResNet18/Final/evaluation/test_per_class_metrics.csv,.csv,8,5,"class_name, precision, recall, f1_score, support","precision, recall, f1_score, support",class_name,"class_or_category: class_name; count: support; metric: precision, recall, support",read,
results/Rice/DDP/ResNet18/Final/evaluation/validation_confusion_matrix.csv,.csv,8,9,"Unnamed: 0, 0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM","0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM",Unnamed: 0,,read,
results/Rice/DDP/ResNet18/Final/evaluation/validation_per_class_metrics.csv,.csv,8,5,"class_name, precision, recall, f1_score, support","precision, recall, f1_score, support",class_name,"class_or_category: class_name; count: support; metric: precision, recall, support",read,
results/Rice/DDP/ResNet18/Final/metrics.json,.json,8,8,"epoch, train_loss, learning_rate, epoch_seconds, validation.accuracy, validation.balanced_accuracy, validation.macro_f1, validation.weighted_f1","epoch, train_loss, learning_rate, epoch_seconds, validation.accuracy, validation.balanced_accuracy, validation.macro_f1, validation.weighted_f1",,"metric: epoch_seconds, train_loss, validation.accuracy, validation.balanced_accuracy, validation.macro_f1; round_or_epoch: epoch, epoch_seconds; runtime: epoch_seconds",read,
results/Rice/DDP/ResNet18/Final/training_summary.json,.json,0,9,"best_epoch, best_validation_macro_f1, effective_global_batch_size, epochs, experiment, total_training_seconds, train_images, validation_images, world_size",,"best_epoch, best_validation_macro_f1, effective_global_batch_size, epochs, experiment, total_training_seconds, train_images, validation_images, world_size","count: train_images, validation_images; metric: best_validation_macro_f1, total_training_seconds; round_or_epoch: best_epoch; runtime: total_training_seconds",keys-only,JSON was inspected as nested key paths.
results/Rice/Federated/FedAvg/IID/MobileNetV2/evaluation/evaluation_metrics.json,.json,0,13,"checkpoint, experiment, results, results.test, results.test.accuracy, results.test.balanced_accuracy, results.test.macro_f1, results.test.weighted_f1, results.validation, results.validation.accuracy, results.validation.balanced_accuracy, results.validation.macro_f1, results.validation.weighted_f1",,"checkpoint, experiment, results, results.test, results.test.accuracy, results.test.balanced_accuracy, results.test.macro_f1, results.test.weighted_f1, results.validation, results.validation.accuracy, results.validation.balanced_accuracy, results.validation.macro_f1, results.validation.weighted_f1","metric: results.test.accuracy, results.test.balanced_accuracy, results.test.macro_f1, results.validation.accuracy, results.validation.balanced_accuracy, results.validation.macro_f1",keys-only,JSON was inspected as nested key paths.
results/Rice/Federated/FedAvg/IID/MobileNetV2/evaluation/evaluation_summary.csv,.csv,2,6,"experiment, split, accuracy, balanced_accuracy, macro_f1, weighted_f1","accuracy, balanced_accuracy, macro_f1, weighted_f1","experiment, split","metric: accuracy, balanced_accuracy, macro_f1; split: split",read,
results/Rice/Federated/FedAvg/IID/MobileNetV2/evaluation/test_confusion_matrix.csv,.csv,8,9,"Unnamed: 0, 0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM","0_NOR, 1_F&S, 2_SD, 3_MY, 4_AP, 5_BN, 6_UN, 7_IM",Unnamed: 0,,read,
