relative_path,top_level,filename,extension,category,size_bytes,size_mb,modified_utc
experiments/results/rice/rice_efficientnetb0_grouped_v1/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,231,0.0002,2026-07-30T14:42:20.367589+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,92263,0.088,2026-07-30T14:42:20.382453+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/test_evaluation.json,experiments,test_evaluation.json,.json,structured data,1791,0.0017,2026-07-30T14:42:20.392454+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,531,0.0005,2026-07-30T14:42:20.403308+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,876105,0.8355,2026-07-30T14:42:20.468060+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,231,0.0002,2026-07-30T14:42:20.478678+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,92967,0.0887,2026-07-30T14:42:20.495906+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_evaluation.json,experiments,validation_evaluation.json,.json,structured data,1796,0.0017,2026-07-30T14:42:20.506501+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,530,0.0005,2026-07-30T14:42:20.516962+00:00
experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,916698,0.8742,2026-07-30T14:42:20.585681+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/evaluation_metrics.json,experiments,evaluation_metrics.json,.json,structured data,458,0.0004,2026-07-30T14:42:20.618468+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,191,0.0002,2026-07-30T14:42:20.631704+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:20.645251+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,92990,0.0887,2026-07-30T14:42:20.669609+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_evaluation.json,experiments,test_evaluation.json,.json,structured data,1790,0.0017,2026-07-30T14:42:20.682068+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,516,0.0005,2026-07-30T14:42:20.695935+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,876114,0.8355,2026-07-30T14:42:20.755337+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,231,0.0002,2026-07-30T14:42:20.762326+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,94683,0.0903,2026-07-30T14:42:20.778192+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_evaluation.json,experiments,validation_evaluation.json,.json,structured data,1798,0.0017,2026-07-30T14:42:20.790024+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,517,0.0005,2026-07-30T14:42:20.800002+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,916705,0.8742,2026-07-30T14:42:20.854537+00:00
experiments/results/rice/rice_fedavg_iid_mobilenetv2/metrics.json,experiments,metrics.json,.json,structured data,4072,0.0039,2026-07-30T14:42:20.864504+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/evaluation_metrics.json,experiments,evaluation_metrics.json,.json,structured data,5122,0.0049,2026-07-30T14:42:20.895215+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,242,0.0002,2026-07-30T14:42:20.908412+00:00
experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:20.918703+00:00
