checkpoint,size_bytes,size_mib,modified,sha256
/scratch/project_2019765/fnaveed/results/rice_fedavg_iid_resnet18_smoke/training_state.pt,44803915,42.7283,2026-07-14T00:17:16,c959b1f267c063376b4a507ca544824ad31f5203eb33cf50785a4c58f078e7ea
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/best_global_model.pt,9185547,8.76,2026-07-14T14:42:31,56f52a7610879894094c1b7f078434212d1e783a1cde609401e1073ee77a3d14
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/global_model_round_1.pt,9185291,8.7598,2026-07-14T14:42:31,2f423178c80178cefb268e3a659892a41039c3244685d19411fc0ee09b7f5804
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/global_model_round_2.pt,9185291,8.7598,2026-07-14T14:42:53,5bfa8f6c2c4e6b08ea3693425aab3f4bd654ed10418b695b543c2d3a63cb610b
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/global_model_round_3.pt,9185291,8.7598,2026-07-14T14:43:15,e38110908ce737764e6cf48c6ff2373064cc1a994daba8a88343b7f132716d6c
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/global_model_round_4.pt,9185291,8.7598,2026-07-14T14:43:38,f8581e81af1665db54b375f6e6e8f3b98528bbeb43781e20eae773dc8dd3f5c6
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/global_model_round_5.pt,9185291,8.7598,2026-07-14T14:44:00,da34a0fdca47f0614efd085ce3b143773a1015087993150fa8f2012784cc9e92
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_mobilenetv2/training_state.pt,9185675,8.7601,2026-07-14T14:44:00,ae6129404565e2aa84e52841349fc5e5de18c242fc3718420b9fe5f844708482
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/best_global_model.pt,44804171,42.7286,2026-07-14T00:18:42,0addd9229d0f0959d4b95c76d180a6128eedff041e4a766c9b97c962159ce307
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/global_model_round_1.pt,44803339,42.7278,2026-07-14T00:18:42,0c87d025ab683beb96da96122c145115c571880e9f42df1156cf55509d707e8d
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/global_model_round_2.pt,44803339,42.7278,2026-07-14T00:19:05,36324324be6f62ec8fc5aa8b5bbeba7e8cb20ba7375c6d3f8d04508f3708ca27
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/global_model_round_3.pt,44803339,42.7278,2026-07-14T00:19:28,ddf965d8ef62c534d18d4f4bef6ef4f934a4b1932540ee302536ddc286629a3c
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/global_model_round_4.pt,44803339,42.7278,2026-07-14T00:19:51,e426dd0975d55a9fed152edf9912da2f8f23530e437556bedf23f5253e50fd9a
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/global_model_round_5.pt,44803339,42.7278,2026-07-14T00:20:14,f72c23c96a0fd23a9ff78f0fc0b80013079610eab0b814ab65adbeb80122da58
/scratch/project_2019765/fnaveed/results/rice_fedavg_noniid_resnet18/training_state.pt,44804811,42.7292,2026-07-14T00:20:14,47077f3037063aa1bbea70f3f69d724195bd9c14610b182d8476c0cc6aed0034
/scratch/project_2019765/fnaveed/results/rice_mobilenetv2_grouped_v1/best_mobilenetv2_rice_grouped.pt,9188619,8.7629,2026-07-14T14:24:25,b82086e2c77086a871da0a055afc4c2ba8d4f9dd3371fbab31c8ee057119ae2c
/scratch/project_2019765/fnaveed/results/rice_resnet18_grouped_seed123/best_resnet18_rice_grouped.pt,44804555,42.729,2026-07-13T23:27:50,1b2bc5e083d593a6d1c27c2994aaa426cdfead3e763b64079d3526beadd05e94
/scratch/project_2019765/fnaveed/results/rice_resnet18_grouped_seed2026/best_resnet18_rice_grouped.pt,44804555,42.729,2026-07-13T23:29:02,3bd342378c7ed6fab34acd325a204ca272a12becedb044daa5ac812a1d117897
/scratch/project_2019765/fnaveed/results/rice_resnet18_grouped_v1/best_resnet18_rice_grouped.pt,44804555,42.729,2026-07-13T23:06:40,ab52463e1846701c5a33da18edb426c641b06cfc76c6d53bc759f62c064c5efb
/scratch/project_2019765/fnaveed/results/wheat_resnet18_grouped_v2/best_resnet18_wheat_grouped_v2.pt,44805195,42.7296,2026-07-14T13:38:54,8e847a15a73c742352e17c8acb59795812991a3d3a8d1c8190044463428e1ad9
/scratch/project_2019765/fnaveed/results/wheat_resnet18_grouped_v2_smoke/best_resnet18_wheat_grouped_v2.pt,44805195,42.7296,2026-07-14T13:05:25,3fbdb3c52030681993b818ade5f34abefa96b9283c4b4fe1a7697ff23ff25f42
/scratch/project_2019765/fnaveed/results/wheat_resnet18_grouped_v3_sqrt_weights/best_resnet18_wheat_grouped_v3_sqrt_weights.pt,44806923,42.7312,2026-07-14T14:07:56,7f8de5d0e11c8723b4bd26a21ce0e6659f7cf5629a49a572ef4956a4437780c7
